Local ID,Catalog,Catalog ID,Association
TIC 251757935,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-35,ID of external group
TIC 255532033,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-36,ID of external group
TIC 256158466,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-37,ID of external group
TIC 257776944,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-38,ID of external group
TIC 260056937,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-39,ID of external group
TIC 264402353,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-40,ID of external group
TIC 265274458,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-41,ID of external group
TIC 266657256,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-42,ID of external group
TIC 266771301,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-43,ID of external group
TIC 269811101,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-44,ID of external group
TIC 271186951,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-45,ID of external group
TIC 274791367,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-46,ID of external group
TIC 278352276,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-47,ID of external group
TIC 283940788,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-48,ID of external group
TIC 284814380,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-49,ID of external group
TIC 285655079,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-50,ID of external group
TIC 285681367,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-51,ID of external group
TIC 286470992,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-52,ID of external group
TIC 292318612,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-53,ID of external group
TIC 300446218,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-54,ID of external group
TIC 306903715,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-55,ID of external group
TIC 307119043,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-56,ID of external group
TIC 309025182,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-57,ID of external group
TIC 309262405,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-58,ID of external group
TIC 311838200,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-59,ID of external group
TIC 314802266,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-60,ID of external group
TIC 317863971,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-61,ID of external group
TIC 321471064,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-62,ID of external group
TIC 322727163,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-63,ID of external group
TIC 327885074,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-64,ID of external group
TIC 328181241,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-65,ID of external group
TIC 336882813,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-66,ID of external group
TIC 344541836,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-67,ID of external group
TIC 348651800,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-68,ID of external group
TIC 357810643,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-69,ID of external group
TIC 367448265,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-70,ID of external group
TIC 370440624,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-71,ID of external group
TIC 375325607,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-72,ID of external group
TIC 386202029,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-73,ID of external group
TIC 387096013,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-74,ID of external group
TIC 389836747,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-75,ID of external group
TIC 391620600,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-76,ID of external group
TIC 392229331,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-77,ID of external group
TIC 399492452,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-78,ID of external group
TIC 408147984,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-79,ID of external group
TIC 414026507,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-80,ID of external group
TIC 414475823,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-81,ID of external group
TIC 414969157,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-82,ID of external group
TIC 427092089,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-83,ID of external group
TIC 434452777,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-84,ID of external group
TIC 438226195,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-85,ID of external group
TIC 439511833,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-86,ID of external group
TIC 441794509,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-87,ID of external group
TIC 443862276,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-88,ID of external group
TIC 454140642,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-89,ID of external group
TIC 458740670,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-90,ID of external group
TIC 459959916,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-91,ID of external group
TIC 461614217,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-92,ID of external group
TIC 462322817,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-93,ID of external group
TIC 470710327,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-94,ID of external group
TIC 141733685,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-95,ID of external group
TIC 168789840,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-96,ID of external group
TIC 1337279468,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-97,ID of external group
