Local ID,Catalog,Catalog ID,Association
TIC 9493888,GAIA DR3,277142591660752128,GAIA object within 2.0 arcsec of TIC object
TIC 407060024,GAIA DR3,528226311066393856,GAIA object within 2.0 arcsec of TIC object
TIC 265684107,GAIA DR3,252062495212451072,GAIA object within 2.0 arcsec of TIC object
TIC 399492452,GAIA DR3,5231925239249670912,GAIA object within 2.0 arcsec of TIC object
TIC 311838200,GAIA DR3,5855840775977123456,GAIA object within 2.0 arcsec of TIC object
TIC 370440624,GAIA DR3,5243829651635260544,GAIA object within 2.0 arcsec of TIC object
TIC 80893927,GAIA DR3,3436622857900240256,GAIA object within 2.0 arcsec of TIC object
TIC 270360534,GAIA DR3,1348722917534986752,GAIA object within 2.0 arcsec of TIC object
TIC 139914081,GAIA DR3,6562350079965735680,GAIA object within 2.0 arcsec of TIC object
TIC 320233974,GAIA DR3,5333993075462318208,GAIA object within 2.0 arcsec of TIC object
TIC 146435300,GAIA DR3,2960839231389311616,GAIA object within 2.0 arcsec of TIC object
TIC 244279814,GAIA DR3,3225574628900364800,GAIA object within 2.0 arcsec of TIC object
TIC 89278612,GAIA DR3,2055125259707080832,GAIA object within 2.0 arcsec of TIC object
TIC 231595025,GAIA DR3,5695698895941975296,GAIA object within 2.0 arcsec of TIC object
TIC 386414884,GAIA DR3,5310674525476315392,GAIA object within 2.0 arcsec of TIC object
TIC 144686626,GAIA DR3,5547616846020549760,GAIA object within 2.0 arcsec of TIC object
TIC 456737763,GAIA DR3,5619163407664535936,GAIA object within 2.0 arcsec of TIC object
TIC 255532033,GAIA DR3,5991306965083680128,GAIA object within 2.0 arcsec of TIC object
TIC 140241924,GAIA DR3,5322590658834050176,GAIA object within 2.0 arcsec of TIC object
TIC 470710327,GAIA DR3,2012876727243918336,GAIA object within 2.0 arcsec of TIC object
TIC 13021681,GAIA DR3,2960631977745576064,GAIA object within 2.0 arcsec of TIC object
TIC 60584909,GAIA DR3,2937231827688453760,GAIA object within 2.0 arcsec of TIC object
TIC 239872462,GAIA DR3,3454503601320433536,GAIA object within 2.0 arcsec of TIC object
TIC 239872462,GAIA DR3,3454503601324455040,GAIA object within 2.0 arcsec of TIC object
TIC 130533284,GAIA DR3,5600954773556815744,GAIA object within 2.0 arcsec of TIC object
TIC 73296637,GAIA DR3,3069066742193077760,GAIA object within 2.0 arcsec of TIC object
TIC 63459761,GAIA DR3,2067766791544561920,GAIA object within 2.0 arcsec of TIC object
TIC 250119205,GAIA DR3,5894766751792531328,GAIA object within 2.0 arcsec of TIC object
TIC 167800999,GAIA DR3,3550431111762886528,GAIA object within 2.0 arcsec of TIC object
TIC 328181241,GAIA DR3,4657501191249536,GAIA object within 2.0 arcsec of TIC object
TIC 375325607,GAIA DR3,2188911081472114304,GAIA object within 2.0 arcsec of TIC object
TIC 375325607,GAIA DR3,2188911085772945152,GAIA object within 2.0 arcsec of TIC object
TIC 454140642,GAIA DR3,3255659981455492608,GAIA object within 2.0 arcsec of TIC object
TIC 439511833,GAIA DR3,5307096100472398080,GAIA object within 2.0 arcsec of TIC object
TIC 356318101,GAIA DR3,4567467856946514816,GAIA object within 2.0 arcsec of TIC object
TIC 200094011,GAIA DR3,3219205978378160512,GAIA object within 2.0 arcsec of TIC object
TIC 200094011,GAIA DR3,3219205982673618432,GAIA object within 2.0 arcsec of TIC object
TIC 321471064,GAIA DR3,5333374492778342400,GAIA object within 2.0 arcsec of TIC object
TIC 168789840,GAIA DR3,4882954370431549696,GAIA object within 2.0 arcsec of TIC object
TIC 168789840,GAIA DR3,4882954370433742336,GAIA object within 2.0 arcsec of TIC object
TIC 78333248,GAIA DR3,3430633616201891072,GAIA object within 2.0 arcsec of TIC object
TIC 286470992,GAIA DR3,463122720050182656,GAIA object within 2.0 arcsec of TIC object
TIC 286470992,GAIA DR3,463122720055223168,GAIA object within 2.0 arcsec of TIC object
TIC 391620600,GAIA DR3,204904785092921216,GAIA object within 2.0 arcsec of TIC object
TIC 284814380,GAIA DR3,524420699465597184,GAIA object within 2.0 arcsec of TIC object
TIC 458108996,GAIA DR3,5254465983566025088,GAIA object within 2.0 arcsec of TIC object
TIC 309025182,GAIA DR3,5466403275045876096,GAIA object within 2.0 arcsec of TIC object
TIC 201310151,GAIA DR3,4918400117051127424,GAIA object within 2.0 arcsec of TIC object
TIC 278352276,GAIA DR3,2083748708463645952,GAIA object within 2.0 arcsec of TIC object
TIC 265274458,GAIA DR3,2228101077501418240,GAIA object within 2.0 arcsec of TIC object
TIC 202664216,GAIA DR3,416537374463489664,GAIA object within 2.0 arcsec of TIC object
TIC 144475902,GAIA DR3,5545860994667409280,GAIA object within 2.0 arcsec of TIC object
TIC 178953404,GAIA DR3,4894302326864856064,GAIA object within 2.0 arcsec of TIC object
TIC 357810643,GAIA DR3,5298906628619404672,GAIA object within 2.0 arcsec of TIC object
TIC 779824,GAIA DR3,5762479182056520448,GAIA object within 2.0 arcsec of TIC object
TIC 264402353,GAIA DR3,2284721597003238272,GAIA object within 2.0 arcsec of TIC object
TIC 430745185,GAIA DR3,1999901841509457536,GAIA object within 2.0 arcsec of TIC object
TIC 292318612,GAIA DR3,345585408079704704,GAIA object within 2.0 arcsec of TIC object
TIC 314802266,GAIA DR3,5842816888938573440,GAIA object within 2.0 arcsec of TIC object
TIC 125952257,GAIA DR3,5600205937417955968,GAIA object within 2.0 arcsec of TIC object
TIC 346000664,GAIA DR3,1998225872245119616,GAIA object within 2.0 arcsec of TIC object
TIC 121511673,GAIA DR3,200791129837694848,GAIA object within 2.0 arcsec of TIC object
TIC 459959916,GAIA DR3,3281768503532006016,GAIA object within 2.0 arcsec of TIC object
TIC 1337279468,GAIA DR3,5964415796876077952,GAIA object within 2.0 arcsec of TIC object
TIC 429901945,GAIA DR3,3375808629247575552,GAIA object within 2.0 arcsec of TIC object
TIC 53158069,GAIA DR3,3119311498705697280,GAIA object within 2.0 arcsec of TIC object
TIC 462322817,GAIA DR3,5258268953743230976,GAIA object within 2.0 arcsec of TIC object
TIC 344541836,GAIA DR3,2189576290314119936,GAIA object within 2.0 arcsec of TIC object
TIC 285655079,GAIA DR3,5882657654103107072,GAIA object within 2.0 arcsec of TIC object
TIC 47279366,GAIA DR3,3394246893786642432,GAIA object within 2.0 arcsec of TIC object
TIC 25818450,GAIA DR3,1992486494566143744,GAIA object within 2.0 arcsec of TIC object
TIC 260056937,GAIA DR3,234153100062678400,GAIA object within 2.0 arcsec of TIC object
TIC 266395331,GAIA DR3,247158570267760512,GAIA object within 2.0 arcsec of TIC object
TIC 125583594,GAIA DR3,3052584410060535552,GAIA object within 2.0 arcsec of TIC object
TIC 269811101,GAIA DR3,2015432374533799424,GAIA object within 2.0 arcsec of TIC object
TIC 414969157,GAIA DR3,638215205129955584,GAIA object within 2.0 arcsec of TIC object
TIC 461614217,GAIA DR3,5523221328699009280,GAIA object within 2.0 arcsec of TIC object
TIC 146810480,GAIA DR3,5391302370263824768,GAIA object within 2.0 arcsec of TIC object
TIC 232087348,GAIA DR3,4693178663478574464,GAIA object within 2.0 arcsec of TIC object
TIC 384735219,GAIA DR3,447863628965973120,GAIA object within 2.0 arcsec of TIC object
TIC 405114468,GAIA DR3,3027109374178372480,GAIA object within 2.0 arcsec of TIC object
TIC 444816203,GAIA DR3,4055632652954614912,GAIA object within 2.0 arcsec of TIC object
TIC 29046597,GAIA DR3,5328736825763543680,GAIA object within 2.0 arcsec of TIC object
TIC 128802666,GAIA DR3,5600765069135007616,GAIA object within 2.0 arcsec of TIC object
TIC 438226195,GAIA DR3,3356826458648806784,GAIA object within 2.0 arcsec of TIC object
TIC 97356407,GAIA DR3,5604686034976764928,GAIA object within 2.0 arcsec of TIC object
TIC 470397849,GAIA DR3,271997431297277440,GAIA object within 2.0 arcsec of TIC object
TIC 20212631,GAIA DR3,1391924687894823296,GAIA object within 2.0 arcsec of TIC object
TIC 256158466,GAIA DR3,5776452909696577152,GAIA object within 2.0 arcsec of TIC object
TIC 370274336,GAIA DR3,413179740833795840,GAIA object within 2.0 arcsec of TIC object
TIC 384410712,GAIA DR3,4521370660165991808,GAIA object within 2.0 arcsec of TIC object
TIC 32945664,GAIA DR3,3112461957880614016,GAIA object within 2.0 arcsec of TIC object
TIC 261940513,GAIA DR3,3152931579282604032,GAIA object within 2.0 arcsec of TIC object
TIC 125787704,GAIA DR3,5612234697703939200,GAIA object within 2.0 arcsec of TIC object
TIC 358422952,GAIA DR3,2169530200464910208,GAIA object within 2.0 arcsec of TIC object
TIC 238558210,GAIA DR3,3422912708109741184,GAIA object within 2.0 arcsec of TIC object
TIC 80914862,GAIA DR3,2929421068892142336,GAIA object within 2.0 arcsec of TIC object
TIC 441794509,GAIA DR3,1655666294396195200,GAIA object within 2.0 arcsec of TIC object
TIC 308731030,GAIA DR3,5904415275545019392,GAIA object within 2.0 arcsec of TIC object
TIC 427092089,GAIA DR3,2220339079463012480,GAIA object within 2.0 arcsec of TIC object
TIC 219469945,GAIA DR3,1383708278019279616,GAIA object within 2.0 arcsec of TIC object
TIC 52856877,GAIA DR3,522450134113950336,GAIA object within 2.0 arcsec of TIC object
TIC 139944266,GAIA DR3,5523049701799164160,GAIA object within 2.0 arcsec of TIC object
TIC 190895730,GAIA DR3,5620856616906378880,GAIA object within 2.0 arcsec of TIC object
TIC 306903715,GAIA DR3,3369407242490695168,GAIA object within 2.0 arcsec of TIC object
TIC 273919067,GAIA DR3,2162313418466852096,GAIA object within 2.0 arcsec of TIC object
TIC 387288959,GAIA DR3,2271305257336749696,GAIA object within 2.0 arcsec of TIC object
TIC 387288959,GAIA DR3,2271305257339379584,GAIA object within 2.0 arcsec of TIC object
TIC 79140936,GAIA DR3,2922782286399030912,GAIA object within 2.0 arcsec of TIC object
TIC 134744873,GAIA DR3,5541042243215652864,GAIA object within 2.0 arcsec of TIC object
TIC 327885074,GAIA DR3,2199860842895906176,GAIA object within 2.0 arcsec of TIC object
TIC 307119043,GAIA DR3,404537094094988800,GAIA object within 2.0 arcsec of TIC object
TIC 307119043,GAIA DR3,404537098394992640,GAIA object within 2.0 arcsec of TIC object
TIC 382182610,GAIA DR3,6696014955478517376,GAIA object within 2.0 arcsec of TIC object
TIC 139621206,GAIA DR3,5405090039933541248,GAIA object within 2.0 arcsec of TIC object
TIC 466187603,GAIA DR3,5240486208614271488,GAIA object within 2.0 arcsec of TIC object
TIC 459333241,GAIA DR3,5350321201100322816,GAIA object within 2.0 arcsec of TIC object
TIC 43472931,GAIA DR3,3182169551968606208,GAIA object within 2.0 arcsec of TIC object
TIC 443862276,GAIA DR3,3097738913065529472,GAIA object within 2.0 arcsec of TIC object
TIC 37376063,GAIA DR3,5647613099227462016,GAIA object within 2.0 arcsec of TIC object
TIC 434452777,GAIA DR3,5676629108002652416,GAIA object within 2.0 arcsec of TIC object
TIC 375036945,GAIA DR3,5283761989808619904,GAIA object within 2.0 arcsec of TIC object
TIC 387096013,GAIA DR3,5310631717561703168,GAIA object within 2.0 arcsec of TIC object
TIC 24700485,GAIA DR3,3015122880664449024,GAIA object within 2.0 arcsec of TIC object
TIC 414026507,GAIA DR3,2007566227834657280,GAIA object within 2.0 arcsec of TIC object
TIC 266771301,GAIA DR3,251000293962850944,GAIA object within 2.0 arcsec of TIC object
TIC 266771301,GAIA DR3,251000298260535296,GAIA object within 2.0 arcsec of TIC object
TIC 130276377,GAIA DR3,5597797624687631232,GAIA object within 2.0 arcsec of TIC object
TIC 371583423,GAIA DR3,2003693095038776064,GAIA object within 2.0 arcsec of TIC object
TIC 240256832,GAIA DR3,1970919608355618816,GAIA object within 2.0 arcsec of TIC object
TIC 392229331,GAIA DR3,486430957815961344,GAIA object within 2.0 arcsec of TIC object
TIC 389836747,GAIA DR3,510748306738071680,GAIA object within 2.0 arcsec of TIC object
TIC 284806955,GAIA DR3,524070470655501056,GAIA object within 2.0 arcsec of TIC object
TIC 458606169,GAIA DR3,5351360102155532160,GAIA object within 2.0 arcsec of TIC object
TIC 266657256,GAIA DR3,3095184060360074368,GAIA object within 2.0 arcsec of TIC object
TIC 58539786,GAIA DR3,165017797473490944,GAIA object within 2.0 arcsec of TIC object
TIC 337346017,GAIA DR3,6705873077959867648,GAIA object within 2.0 arcsec of TIC object
TIC 45160946,GAIA DR3,5434831348413276160,GAIA object within 2.0 arcsec of TIC object
TIC 271186951,GAIA DR3,5329659041142860032,GAIA object within 2.0 arcsec of TIC object
TIC 300987891,GAIA DR3,4321181341163948160,GAIA object within 2.0 arcsec of TIC object
TIC 251757935,GAIA DR3,447114998986540672,GAIA object within 2.0 arcsec of TIC object
TIC 207137124,GAIA DR3,4728114305421574528,GAIA object within 2.0 arcsec of TIC object
TIC 417752064,GAIA DR3,2229160392531368448,GAIA object within 2.0 arcsec of TIC object
TIC 257776944,GAIA DR3,5798003887367982848,GAIA object within 2.0 arcsec of TIC object
TIC 459400252,GAIA DR3,5352627873425260544,GAIA object within 2.0 arcsec of TIC object
TIC 285681367,GAIA DR3,515086979621620992,GAIA object within 2.0 arcsec of TIC object
TIC 442333487,GAIA DR3,5308798247550918016,GAIA object within 2.0 arcsec of TIC object
TIC 123098844,GAIA DR3,2117607962866960128,GAIA object within 2.0 arcsec of TIC object
TIC 123098844,GAIA DR3,2117607962866960256,GAIA object within 2.0 arcsec of TIC object
TIC 262755078,GAIA DR3,3156419470682794496,GAIA object within 2.0 arcsec of TIC object
TIC 160514618,GAIA DR3,1950448587322187520,GAIA object within 2.0 arcsec of TIC object
TIC 120911334,GAIA DR3,199017518802605440,GAIA object within 2.0 arcsec of TIC object
TIC 458740670,GAIA DR3,5351127310598407680,GAIA object within 2.0 arcsec of TIC object
TIC 274481742,GAIA DR3,258651146838327552,GAIA object within 2.0 arcsec of TIC object
TIC 274481742,GAIA DR3,258651146842614528,GAIA object within 2.0 arcsec of TIC object
TIC 321474625,GAIA DR3,5333342370763562368,GAIA object within 2.0 arcsec of TIC object
TIC 91600053,GAIA DR3,3349879194427294080,GAIA object within 2.0 arcsec of TIC object
TIC 177810207,GAIA DR3,3107984987053417728,GAIA object within 2.0 arcsec of TIC object
TIC 139650665,GAIA DR3,5092393365381610880,GAIA object within 2.0 arcsec of TIC object
TIC 31928452,GAIA DR3,4670910529358997888,GAIA object within 2.0 arcsec of TIC object
TIC 386202029,GAIA DR3,3355042672829484032,GAIA object within 2.0 arcsec of TIC object
TIC 317863971,GAIA DR3,3136148427638162176,GAIA object within 2.0 arcsec of TIC object
TIC 408147984,GAIA DR3,5867020537173073024,GAIA object within 2.0 arcsec of TIC object
TIC 82818966,GAIA DR3,5516638037184056960,GAIA object within 2.0 arcsec of TIC object
TIC 459705607,GAIA DR3,5351017737399118976,GAIA object within 2.0 arcsec of TIC object
TIC 409682934,GAIA DR3,3031177468426971008,GAIA object within 2.0 arcsec of TIC object
TIC 300446218,GAIA DR3,5281235758763812224,GAIA object within 2.0 arcsec of TIC object
TIC 204698586,GAIA DR3,3512835476313571072,GAIA object within 2.0 arcsec of TIC object
TIC 170146066,GAIA DR3,5929449162474134400,GAIA object within 2.0 arcsec of TIC object
TIC 27543409,GAIA DR3,653620084592824960,GAIA object within 2.0 arcsec of TIC object
TIC 354314226,GAIA DR3,407849617690288128,GAIA object within 2.0 arcsec of TIC object
TIC 150055835,GAIA DR3,158123726424621824,GAIA object within 2.0 arcsec of TIC object
TIC 278465736,GAIA DR3,2171498944768922112,GAIA object within 2.0 arcsec of TIC object
TIC 127011022,GAIA DR3,5614373041669940480,GAIA object within 2.0 arcsec of TIC object
TIC 285853156,GAIA DR3,3445472758271399936,GAIA object within 2.0 arcsec of TIC object
TIC 274862252,GAIA DR3,5885035386669240960,GAIA object within 2.0 arcsec of TIC object
TIC 278142612,GAIA DR3,5207982411469901824,GAIA object within 2.0 arcsec of TIC object
TIC 336882813,GAIA DR3,3345256224768675584,GAIA object within 2.0 arcsec of TIC object
TIC 309262405,GAIA DR3,3451961801022167552,GAIA object within 2.0 arcsec of TIC object
